question,answer
What is Python?,Python is a high-level programming language known for its simplicity and versatility.
Who developed Python?,Python was created by Guido van Rossum and first released in 1991.
What is a variable?,A variable is a named location used to store data in memory.
What are Python data types?,Common Python data types include int float string list tuple dictionary set and boolean.
What is a list?,A list is an ordered mutable collection of items.
What is a tuple?,A tuple is an ordered immutable collection of items.
What is a dictionary?,A dictionary stores data as key-value pairs.
What is a set?,A set is an unordered collection of unique elements.
What is a function?,A function is a reusable block of code that performs a specific task.
What is a class?,A class is a blueprint used to create objects in object-oriented programming.
What is an object?,An object is an instance of a class.
What is OOP?,Object-Oriented Programming organizes code using classes and objects.
What is encapsulation?,Encapsulation is the process of hiding internal implementation details.
What is inheritance?,Inheritance allows one class to acquire the properties of another class.
What is polymorphism?,Polymorphism allows methods to have different implementations.
What is abstraction?,Abstraction hides unnecessary details and shows only essential features.
What is a loop?,A loop repeatedly executes a block of code.
What is a for loop?,A for loop iterates over a sequence.
What is a while loop?,A while loop repeats as long as a condition is true.
What is an if statement?,An if statement is used for decision making.
What is recursion?,Recursion is a function calling itself.
What is exception handling?,Exception handling manages runtime errors using try and except.
What is a module?,A module is a file containing Python code.
What is a package?,A package is a collection of Python modules.
What is pip?,Pip is Python's package manager.
What is NumPy?,NumPy is a library for numerical computing.
What is Pandas?,Pandas is a library for data analysis and manipulation.
What is Matplotlib?,Matplotlib is used for data visualization.
What is Seaborn?,Seaborn is a statistical visualization library.
What is Streamlit?,Streamlit is a framework for building Python web applications.
What is machine learning?,Machine learning enables computers to learn from data.
What is artificial intelligence?,Artificial Intelligence is the simulation of human intelligence by machines.
What is deep learning?,Deep learning is a subset of machine learning using neural networks.
What is a lambda function?,A lambda function is an anonymous function.
What is a list comprehension?,List comprehension provides a concise way to create lists.
What is slicing?,Slicing extracts a portion of a sequence.
What is indexing?,Indexing accesses individual elements in a sequence.
What is a string?,A string is a sequence of characters.
What is a boolean?,A boolean has two values True and False.
What is indentation?,Indentation defines code blocks in Python.
Why is Python popular?,Python is easy to learn readable and has many libraries.
